File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine
ATL_se0_ag1_m_02_1,2149,ATL_se0_ag1_m_02,2359.1077,2361.0102,1.9025000000001455,I thank whatever gods may be,1.0
ATL_se0_ag1_m_02_1,2204,ATL_int_01,2426.7266,2428.5143,1.7876999999998588,"be in touch after this interview,",1.0
ATL_se0_ag1_m_03_1,11,ATL_int_01,5.8219,7.6406,1.8186999999999998,RD-NAME-3. I'm gonna be in-,1.0
ATL_se0_ag1_m_03_1,198,ATL_se0_ag1_m_03,200.5512,202.6639,2.112700000000018,"basically what's gonna be the end result as to,",1.0
ATL_se0_ag1_m_03_1,202,ATL_se0_ag1_m_03,204.0155,206.6553,2.639800000000008,"what you are and, you know, what you're destined to be.",1.0
ATL_se0_ag1_m_03_1,216,ATL_se0_ag1_m_03,219.8501,220.3863,0.536200000000008,be a-,1.0
ATL_se0_ag1_m_03_1,218,ATL_se0_ag1_m_03,220.6131,221.8196,1.2065000000000055,"you know, be- be better,",2.0
ATL_se0_ag1_m_03_1,389,ATL_se0_ag1_m_03,393.9528,396.6015,2.6486999999999625,"pizza, hot do- I don't be- I don't do all the-",1.0
ATL_se0_ag1_m_03_1,403,ATL_se0_ag1_m_03,415.1164,420.3032,5.186800000000005,"like have like a- like a seafood platter out, and I be like, this is cool, but I can't eat this. ",1.0
ATL_se0_ag1_m_03_1,618,ATL_se0_ag1_m_03,662.3425,664.9153,2.5728000000000293,"it's a- you oughta be playing in the NFL, whole time, he is,",1.0
ATL_se0_ag1_m_03_1,692,ATL_int_01,743.1157,748.5795,5.463800000000106,"running, like the bottom of your soles under your foot should just be bleeding just out, like how",1.0
ATL_se0_ag1_m_03_1,694,ATL_int_01,748.7599,751.5801,2.8202,is that a normal thing for a human being to be able to do?,1.0
ATL_se0_ag1_m_03_1,855,ATL_se0_ag1_m_03,939.7597,942.0282,2.2685000000000173,"or he gonna be like, man, you know what, this is Jordan. Fuck it.",1.0
