File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48
ATL_se0_ag1_m_03_1,1762,ATL_se0_ag1_m_03,1989.1721,1990.1414,0.9693,"And you be like, bruh,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,you,be ,"like,","bruh,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1766,ATL_se0_ag1_m_03,1992.4292,1997.1866,4.7574,"But they'll flirt with you all day, and they g- ah yeah,  you- and you be like, okay, so yeah what's u- ah s-",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But,they'll,flirt,with,you,all,"day,",and,they,g-,ah,"yeah,",you-,and,you,be ,"like,","okay,",so,yeah,what's,u-,ah,s-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1771,ATL_se0_ag1_m_03,1998.6159,2000.4606,1.8447,"You be like, damn bro, like you- you was just-",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You,be ,"like,",damn,"bro,",like,you-,you,was,just-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1840,ATL_se0_ag1_m_03,2070.3628,2072.1524,1.7896,people be all loved up and,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people,be ,all,loved,up,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1842,ATL_se0_ag1_m_03,2072.2603,2077.3874,5.1271,"damn near making love in the cafeteria, tonguing each other down. You be like, oh that's your girlfriend? Nah, we just talking.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,damn,near,making,love,in,the,"cafeteria,",tonguing,each,other,down.,You,be ,"like,",oh,that's,your,girlfriend?,"Nah,",we,just,talking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1965,ATL_se0_ag1_m_03,2205.3277,2215.0073,9.6796,"And so like we kind of like had like a rocky road after that. Like she be like, oh you always aks me about this purple, cause you a Blood, and you j- a slob ass. And I'm like, yo calm down with that slob word, and",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,so,like,we,kind,of,like,had,like,a,rocky,road,after,that.,Like,she,be ,"like,",oh,you,always,aks,me,about,this,"purple,",cause,you,a,"Blood,",and,you,j-,a,slob,ass.,And,I'm,"like,",yo,calm,down,with,that,slob,"word,",and,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,2206,ATL_int_01,2502.0176,2504.1005,2.0829,thing Soulja Boy be talking about or something?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thing,Soulja,Boy,be ,talking,about,or,something?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,2208,ATL_se0_ag1_m_03,2504.3532,2506.7338,2.3806,Soulja Boy be claiming he from Fruit Town Piru.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soulja,Boy,be ,claiming,he,from,Fruit,Town,Piru.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_1,558,ATL_se0_ag1_m_04,762.8753,764.0185,1.1432,I be on that bougie shit-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,be ,on,that,bougie,shit-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,57,ATL_int_01,76.8304,79.4497,2.6193,"I be thinking like, damn, maybe I gotta get on this bitch",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,be ,thinking,"like,","damn,",maybe,I,gotta,get,on,this,bitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,162,ATL_int_01,218.8815,226.7582,7.8767,"you be, um, at times I guess too focused on that and then you forget about I guess your personal relationships with your family or whoever,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,"be,","um,",at,times,I,guess,too,focused,on,that,and,then,you,forget,about,I,guess,your,personal,relationships,with,your,family,or,"whoever,",,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,298,ATL_se0_ag1_m_04,419.8608,424.2006,4.3398,"I mean, it's just- I'm just speaking facts, man. A lot of artists be telling me, bruh, you the only artist",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,"mean,",it's,just-,I'm,just,speaking,"facts,",man.,A,lot,of,artists,be ,telling,"me,","bruh,",you,the,only,artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,302,ATL_se0_ag1_m_04,426.1392,428.4579,2.3187,"the competition when I be really feeling like,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the,competition,when,I,be ,really,feeling,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
