File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate
DCA_se3_ag2_f_02_1,1006,DCA_se3_ag2_f_02,1536.5293,1537.6202,1.0909,that can be done,1,0,6.714111202,6.62,3.25,4,3.666697222
DCA_se3_ag2_f_03_1,1274,DCA_int_03,1503.352,1506.1929,2.8409,Is there anything that you feel that you would have done over again?,1,0,-1.835045657,-2.25,4.25,17,5.984019149
DCA_se3_ag2_f_03_1,1276,DCA_int_03,1507.1853,1508.3331,1.1478,That you wouldn't have done?,1,0,0.920405138,0.64,3.5,6,5.227391532
DCA_se3_ag2_f_03_1,1277,DCA_se3_ag2_f_03,1509.5287,1511.958,2.4293,"I can tell you something I would not have done,",1,0,5.728506547,5.62,7.5,11,4.528053349
DCA_se3_ag2_m_02_1,652,DCA_se3_ag2_m_02,796.39,798.1908,1.8008,I think that he could have done it another way.,1,0,1.877222743,1.71,6.5,12,6.66370502
DCA_se3_ag2_m_03_1,625,DCA_se3_ag2_m_03,783.659,786.4263,2.7673,mainly these things are done individually yeah.,1,0,12.60738447,12.52,10.5,12,4.336356738
DCA_se3_ag3_f_01_1,792,DCA_se3_ag3_f_01,1209.1749,1211.4624,2.2875,is done through correspondence.,1,0,7.076583066,7.01,6.5,7,3.06010929
DCA_se3_ag3_f_01_1,796,DCA_se3_ag3_f_01,1213.1925,1217.3605,4.168,and there are quite a few things to be done with these registrations,1,0,9.778783529,9.76,13.0,16,3.838771593
DCA_se3_ag3_f_01_1,810,DCA_se3_ag3_f_01,1237.0464,1240.0219,2.9755,quite a few things to be done. It's quite interesting work.,1,0,1.747503553,1.65,4.25,14,4.705091581
DCA_se3_ag3_m_01_1,1209,DCA_se3_ag3_m_01,1769.2965,1774.0012,4.7047,myself in a little different way. I might have done little more than he did. ,1,0,13.82167089,13.79,11.75,20,4.251068081
DCA_se3_ag3_m_03_1,509,DCA_se3_ag3_m_03,705.3386,709.3653,4.0267,"looking at this, not having done anything about it,  you know.",1,0,15.84341636,15.82,9.5,16,3.973477041
DCA_se3_ag3_m_03_1,517,DCA_se3_ag3_m_03,716.9458,719.3172,2.3714,know what it is that I haven't done today.,1,0,11.79493133,11.76,6.0,11,4.638610104
DCA_se3_ag4_m_01_1,1606,DCA_se3_ag4_m_01,2106.9695,2112.3258,5.3563,So it hasn't- what have to be done about it? Nothing. And the Look magazine has a ver- very good article in there I think on that.,1,0,15.38187414,15.25,8.5,35,6.534361406
DCA_se3_ag4_m_01_1,1985,DCA_se3_ag4_m_01,2636.7788,2638.1496,1.3708,"However, some fellas have done it,",1,0,18.95341045,18.68,16.5,9,6.565509192
DCA_se3_ag4_m_01_1,1989,DCA_se3_ag4_m_01,2641.4615,2643.1052,1.6437,I don't know that I could have done it because,1,0,23.03443477,22.76,28.75,11,6.692218775
DCA_se3_ag4_m_01_1,1995,DCA_se3_ag4_m_01,2647.3535,2648.6016,1.2481,done that very well.,1,0,22.08191311,21.53,30.0,5,4.006089256
DCA_se3_ag4_m_01_2,324,DCA_se3_ag4_m_01,417.1493,419.2145,2.0652,even s- a lot of us- being done,1,0,21.41739458,21.22,2.25,10,4.842146039
DCB_se1_ag1_f_01_1,307,DCB_se1_ag1_f_01,384.202,388.8302,4.6282,"Yeah, different organization- And we do interviews. We had to get- get the interviews done. We had to call 'em.",1,0,19.80345799,19.34,10.5,30,6.482001642
